iter	Logloss
0	0.6838493815
1	0.674319834
2	0.6649872102
3	0.6554424609
4	0.6472955403
5	0.6388470177
6	0.6316706654
7	0.6241251011
8	0.6189918791
9	0.612134213
10	0.6055778964
11	0.5990010111
12	0.5929833639
13	0.5888434051
14	0.5834175959
15	0.5785772782
16	0.5735051123
17	0.5699426514
18	0.5656505029
19	0.5616303222
20	0.5578545615
21	0.5543122982
22	0.5506925406
23	0.5476361192
24	0.5439173221
25	0.540500015
26	0.5379253487
27	0.5349267025
28	0.5321691619
29	0.529521996
30	0.5269823276
31	0.5245145725
32	0.5221236235
33	0.520030708
34	0.5176973512
35	0.5157634135
36	0.5138390538
37	0.5122059194
38	0.5102356163
39	0.5084172846
40	0.5068903126
41	0.505425441
42	0.5039208979
43	0.5022631442
44	0.5004815864
45	0.498822384
46	0.4973463027
47	0.4961031571
48	0.494803095
49	0.4936092872
50	0.4922774168
51	0.4911720662
52	0.4898953601
53	0.4887762476
54	0.4875231042
55	0.4864509863
56	0.4855083916
57	0.4845633189
58	0.4835689126
59	0.4825369293
60	0.4816588439
61	0.4809095014
62	0.4800834259
63	0.47926897
64	0.4784800374
65	0.4777453634
66	0.4770747842
67	0.4763337438
68	0.475604557
69	0.4748791913
70	0.474223822
71	0.4735193034
72	0.4729430911
73	0.472411945
74	0.4718279745
75	0.4711079312
76	0.4704600344
77	0.4698327011
78	0.4691486822
79	0.4684590153
80	0.4678835806
81	0.4673133547
82	0.4669024588
83	0.4663739303
84	0.465848804
85	0.4651677425
86	0.4645627002
87	0.4639946821
88	0.4635819341
89	0.4630580189
90	0.4625752179
91	0.4621125817
92	0.4615845918
93	0.4610660937
94	0.4606413932
95	0.4601512464
96	0.4597128483
97	0.4592751217
98	0.4588669115
99	0.4585238792
100	0.4580431097
101	0.4575503474
102	0.4570407293
103	0.4566911745
104	0.4563364814
105	0.4559334329
106	0.4555109054
107	0.4550575572
108	0.4546387783
109	0.4542779956
110	0.4538506525
111	0.4535602847
112	0.4531976544
113	0.4528487384
114	0.4524900924
115	0.4521962699
116	0.4518963709
117	0.4515848859
118	0.4513147701
119	0.450794757
120	0.4504192497
121	0.4500868991
122	0.4498336183
123	0.4497289226
124	0.4493569669
125	0.4490708078
126	0.4488074586
127	0.4485260316
128	0.4482541271
129	0.4478842551
130	0.4476399971
131	0.4473486294
132	0.4469424754
133	0.4466705105
134	0.4462329871
135	0.4461236131
136	0.4457203452
137	0.4452471679
138	0.4449996714
139	0.4447835811
140	0.4444596863
141	0.4440981644
142	0.4438871917
143	0.4436656143
144	0.443385144
145	0.4431730289
146	0.442969889
147	0.4426607319
148	0.4421037135
149	0.44185045
150	0.4416069018
151	0.4411898957
152	0.4409908968
153	0.4408255346
154	0.4406877359
155	0.4405597151
