iter	Passed	Remaining
0	48	48857
1	50	25395
2	52	17559
3	54	13661
4	57	11432
5	60	9943
6	62	8877
7	65	8099
8	67	7414
9	69	6918
10	72	6494
11	74	6108
12	76	5779
13	77	5468
14	79	5234
15	81	5024
16	84	4871
17	86	4692
18	87	4537
19	89	4400
20	91	4273
21	93	4160
22	95	4066
23	97	3973
24	100	3905
25	102	3826
26	103	3747
27	105	3674
28	107	3609
29	109	3547
30	111	3490
31	113	3440
32	115	3394
33	117	3348
34	119	3302
35	121	3256
36	123	3215
37	125	3174
38	127	3138
39	129	3113
40	131	3083
41	133	3051
42	135	3021
43	137	2990
44	139	2961
45	141	2934
46	143	2909
47	145	2887
48	147	2867
49	149	2845
50	151	2823
51	153	2801
52	155	2779
53	157	2758
54	159	2741
55	161	2723
56	163	2707
57	165	2690
58	167	2672
59	169	2653
60	171	2636
61	173	2619
62	175	2604
63	177	2594
64	179	2583
65	181	2571
66	183	2558
67	185	2544
68	187	2530
69	189	2516
70	191	2504
71	193	2492
72	195	2483
73	197	2472
74	199	2460
75	201	2449
76	203	2437
77	205	2426
78	207	2418
79	209	2408
80	211	2401
81	213	2393
82	215	2383
83	217	2373
84	219	2363
85	221	2353
86	223	2343
87	225	2335
88	227	2328
89	229	2321
90	231	2312
91	233	2303
92	235	2294
93	237	2285
94	239	2277
95	241	2271
96	243	2265
97	245	2259
98	247	2252
99	249	2245
100	251	2237
101	253	2229
102	255	2221
103	257	2219
104	259	2213
105	261	2207
106	263	2200
107	265	2193
108	267	2186
109	269	2179
110	271	2172
111	273	2167
112	275	2162
113	277	2156
114	279	2149
115	281	2143
116	283	2136
117	284	2130
118	286	2123
119	288	2118
120	290	2113
121	293	2111
122	295	2106
123	296	2097
124	298	2091
125	300	2087
126	302	2081
127	304	2076
128	306	2071
129	309	2068
130	311	2063
131	312	2057
132	314	2051
133	316	2046
134	318	2040
135	319	2032
136	322	2029
137	324	2025
138	326	2020
139	328	2015
140	330	2010
141	331	2005
142	333	2000
143	335	1995
144	337	1991
145	340	1988
146	342	1985
147	344	1980
148	345	1975
149	347	1971
150	349	1966
151	351	1962
152	353	1958
153	355	1954
154	357	1950
155	359	1946
156	361	1941
157	363	1937
158	365	1932
159	367	1928
160	369	1925
161	371	1921
162	373	1919
163	375	1914
164	377	1910
165	379	1906
166	381	1902
167	383	1898
168	385	1895
169	387	1893
170	389	1890
171	391	1886
172	393	1882
173	395	1878
174	397	1874
175	399	1870
176	401	1866
177	403	1863
178	405	1860
179	407	1856
180	409	1852
181	411	1848
182	413	1844
183	415	1840
184	417	1837
185	419	1834
186	421	1832
187	423	1829
188	425	1825
189	427	1821
190	429	1818
191	431	1814
192	433	1810
193	435	1808
194	437	1805
195	439	1803
196	441	1799
197	443	1796
198	445	1792
199	447	1788
200	449	1785
201	451	1784
202	454	1783
203	456	1780
204	458	1778
205	460	1774
206	462	1770
207	464	1768
208	466	1765
209	468	1762
210	471	1761
211	473	1758
212	474	1754
213	476	1751
214	478	1747
215	480	1745
216	483	1743
217	485	1741
218	487	1738
219	489	1735
220	491	1731
221	493	1728
222	495	1724
223	496	1721
224	499	1718
225	501	1715
226	503	1716
227	505	1712
228	507	1709
229	509	1706
230	511	1702
231	513	1699
232	516	1698
233	518	1696
234	520	1693
235	522	1690
236	523	1686
237	525	1683
238	527	1680
239	529	1677
240	532	1675
241	534	1673
242	536	1670
243	538	1667
244	540	1665
245	542	1662
246	544	1659
247	546	1657
248	548	1654
249	551	1655
250	553	1652
251	555	1649
252	557	1646
253	559	1643
254	561	1640
255	563	1638
256	565	1635
257	567	1633
258	570	1630
259	571	1627
260	573	1624
261	575	1621
262	577	1619
263	579	1616
264	582	1614
265	584	1611
266	585	1607
267	587	1604
268	589	1601
269	591	1598
270	593	1597
271	596	1595
272	598	1593
273	600	1590
274	602	1587
275	604	1584
276	606	1581
277	607	1578
278	609	1576
279	612	1574
280	614	1572
281	616	1569
282	618	1566
283	620	1564
284	622	1561
285	624	1558
286	626	1555
287	628	1553
288	630	1551
289	632	1549
290	634	1546
291	636	1543
292	638	1540
293	640	1537
294	642	1535
295	644	1533
296	647	1532
297	649	1529
298	651	1526
299	653	1523
300	654	1521
301	656	1518
302	658	1515
303	661	1514
304	663	1512
305	665	1509
306	667	1506
307	669	1504
308	671	1501
309	673	1499
310	675	1497
311	677	1494
312	680	1492
313	682	1490
314	684	1487
315	685	1484
316	687	1481
317	689	1479
318	691	1477
319	694	1474
320	695	1471
321	697	1469
322	699	1466
323	701	1463
324	703	1461
325	705	1458
326	707	1455
327	709	1453
328	711	1451
329	714	1449
330	715	1447
331	717	1444
332	719	1441
333	721	1438
334	723	1436
335	725	1433
336	727	1431
337	729	1429
338	730	1425
339	732	1422
340	734	1419
341	736	1417
342	738	1414
343	740	1412
344	742	1409
345	744	1407
346	746	1404
347	748	1402
348	750	1399
349	752	1397
350	754	1394
351	756	1393
352	758	1390
353	761	1388
354	763	1386
355	765	1384
356	766	1381
357	768	1378
358	770	1376
359	773	1374
360	775	1372
361	777	1370
362	779	1368
363	781	1365
364	783	1363
365	785	1361
366	787	1358
367	789	1356
368	792	1354
369	794	1351
370	795	1349
371	797	1347
372	799	1344
373	801	1342
374	804	1340
375	806	1338
376	808	1336
377	810	1333
378	812	1331
379	814	1328
380	816	1326
381	818	1323
382	820	1321
383	822	1319
384	824	1316
385	826	1314
386	828	1312
387	836	1319
388	840	1320
389	849	1328
390	851	1326
391	853	1323
392	855	1321
393	860	1322
394	862	1321
395	864	1319
396	866	1316
397	869	1314
398	871	1311
399	872	1309
400	874	1306
401	876	1304
402	878	1301
403	880	1299
404	882	1297
405	884	1294
406	887	1292
407	889	1290
408	891	1287
409	892	1284
410	894	1282
411	896	1279
412	898	1277
413	901	1275
414	903	1273
415	905	1270
416	907	1268
417	909	1265
418	910	1263
419	912	1260
420	914	1258
421	916	1255
422	918	1253
423	920	1251
424	922	1248
425	924	1246
426	926	1243
427	928	1241
428	930	1238
429	932	1236
430	934	1234
431	936	1231
432	938	1229
433	940	1226
434	942	1224
435	944	1221
436	946	1219
437	948	1217
438	950	1214
439	952	1212
440	954	1210
441	956	1207
442	958	1204
443	960	1202
444	962	1199
445	964	1197
446	966	1195
447	968	1193
448	970	1190
449	972	1188
450	974	1185
451	976	1183
452	977	1180
453	980	1178
454	982	1177
455	984	1174
456	986	1172
457	988	1169
458	990	1167
459	992	1165
460	994	1162
461	996	1160
462	998	1158
463	1000	1156
464	1002	1153
465	1004	1151
466	1006	1148
467	1008	1146
468	1010	1143
469	1012	1141
470	1014	1139
471	1016	1136
472	1018	1134
473	1020	1132
474	1022	1129
475	1024	1127
476	1025	1124
477	1028	1122
478	1030	1121
479	1032	1118
480	1034	1116
481	1036	1114
482	1038	1111
483	1040	1109
484	1042	1107
485	1044	1104
486	1046	1102
487	1048	1100
488	1050	1098
489	1052	1095
490	1054	1093
491	1056	1090
492	1058	1088
493	1060	1086
494	1062	1084
495	1064	1081
496	1066	1079
497	1068	1076
498	1070	1074
499	1072	1072
500	1074	1069
501	1076	1067
502	1078	1065
503	1080	1063
504	1082	1061
505	1084	1058
506	1086	1056
507	1088	1054
508	1090	1051
509	1092	1049
510	1094	1047
511	1096	1045
512	1098	1043
513	1100	1040
514	1102	1038
515	1104	1035
516	1106	1033
517	1108	1031
518	1110	1029
519	1113	1027
520	1114	1025
521	1116	1022
522	1118	1020
523	1120	1017
524	1122	1015
525	1124	1013
526	1126	1011
527	1128	1008
528	1130	1006
529	1132	1004
530	1134	1001
531	1136	999
532	1138	997
533	1140	994
534	1142	992
535	1144	990
536	1146	988
537	1148	986
538	1150	983
539	1152	981
540	1153	979
541	1155	976
542	1157	974
543	1159	972
544	1161	970
545	1163	967
546	1165	965
547	1167	963
548	1169	960
549	1171	958
550	1173	956
551	1175	954
552	1177	951
553	1179	949
554	1181	947
555	1183	945
556	1185	943
557	1187	940
558	1189	938
559	1192	936
560	1194	934
561	1195	932
562	1197	929
563	1199	927
564	1201	925
565	1203	922
566	1205	920
567	1207	918
568	1210	916
569	1211	914
570	1213	912
571	1215	909
572	1217	907
573	1219	905
574	1221	903
575	1224	901
576	1226	898
577	1228	896
578	1229	894
579	1231	892
580	1233	889
581	1235	887
582	1237	885
583	1240	883
584	1242	881
585	1243	878
586	1245	876
587	1247	874
588	1249	871
589	1251	869
590	1253	867
591	1256	866
592	1258	863
593	1260	861
594	1262	859
595	1264	857
596	1266	854
597	1268	852
598	1270	850
599	1272	848
600	1274	846
601	1276	843
602	1278	841
603	1280	839
604	1282	837
605	1283	834
606	1285	832
607	1288	830
608	1290	828
609	1292	826
610	1294	824
611	1296	821
612	1298	819
613	1299	817
614	1301	814
615	1303	812
616	1305	810
617	1307	808
618	1309	806
619	1311	803
620	1313	801
621	1315	799
622	1317	797
623	1319	795
624	1321	793
625	1323	790
626	1325	788
627	1327	786
628	1329	784
629	1331	782
630	1333	779
631	1335	777
632	1337	775
633	1339	773
634	1341	771
635	1343	768
636	1345	766
637	1347	764
638	1349	762
639	1351	760
640	1353	758
641	1355	756
642	1357	753
643	1359	751
644	1361	749
645	1363	747
646	1365	745
647	1367	743
648	1370	740
649	1372	738
650	1373	736
651	1375	734
652	1377	732
653	1379	729
654	1381	727
655	1383	725
656	1385	723
657	1387	721
658	1389	719
659	1391	716
660	1393	714
661	1395	712
662	1397	710
663	1399	707
664	1401	706
665	1404	704
666	1406	702
667	1408	699
668	1410	697
669	1412	695
670	1413	693
671	1416	691
672	1418	689
673	1420	687
674	1422	684
675	1424	682
676	1426	680
677	1428	678
678	1430	676
679	1432	673
680	1434	671
681	1436	669
682	1438	667
683	1439	665
684	1441	663
685	1443	660
686	1445	658
687	1447	656
688	1449	654
689	1451	652
690	1453	650
691	1455	647
692	1457	645
693	1459	643
694	1461	641
695	1463	639
696	1465	637
697	1467	635
698	1469	632
699	1471	630
700	1473	628
701	1475	626
702	1477	624
703	1479	622
704	1482	620
705	1484	618
706	1486	615
707	1488	613
708	1489	611
709	1491	609
710	1493	607
711	1495	605
712	1499	603
713	1501	601
714	1503	599
715	1505	596
716	1506	594
717	1508	592
718	1510	590
719	1512	588
720	1515	586
721	1516	584
722	1518	581
