gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,2,137,70,0
1,0,0,0,33,1,0,0,2,0,2,0,0,0,1,0,3,483,3175,0
1,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,3,423,505,1
1,0,0,0,44,0,1,0,2,0,2,2,0,0,1,0,0,258,3134,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,701,630,1
0,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,2,1232,1932,1
1,0,0,1,21,1,2,1,0,2,0,0,2,0,0,1,1,1037,3217,0
0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,3,135,1036,0
0,0,1,0,27,1,2,1,0,0,2,2,2,2,0,1,2,1325,3828,1
1,0,0,1,61,1,0,0,2,2,0,0,0,0,1,0,0,468,4036,0
1,0,1,1,12,1,0,0,2,0,0,0,0,0,0,1,3,367,1593,0
1,0,0,0,15,1,0,2,1,1,1,1,1,1,2,0,1,7,1096,0
1,0,1,0,57,1,2,1,0,0,2,0,2,2,1,0,1,1246,4934,0
1,0,0,0,48,1,2,1,0,2,2,0,2,2,0,1,0,1303,4708,1
1,0,0,0,24,1,0,1,2,0,2,2,2,2,0,1,2,1338,3651,0
0,0,1,1,68,1,2,1,2,2,2,2,2,2,2,0,1,1464,5539,0
1,0,0,1,70,1,2,1,2,0,2,0,2,2,2,0,0,1362,5432,0
0,0,1,1,9,1,0,0,0,0,2,2,0,0,0,0,1,449,1495,1
0,0,0,0,20,1,0,1,0,2,2,0,0,2,0,1,2,1056,3154,0
1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,230,107,1
1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,0,0,24,785,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,31,25,1
0,0,1,0,57,1,2,0,0,2,0,2,0,0,2,1,1,524,4041,0
0,0,0,0,29,1,0,0,2,2,0,0,0,0,0,1,0,451,2860,0
1,0,1,1,46,1,2,1,0,2,0,0,2,2,0,1,2,1226,4574,1
1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,2,143,73,1
0,0,0,1,16,1,0,0,0,0,0,0,2,2,0,1,3,599,2316,1
