gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,feature_2
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,25,195,0.9036539387158786
1,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,801,1744,3.808259228844254
1,0,1,0,29,1,0,2,1,1,1,1,1,1,1,0,1,24,1574,0.888175022589804
1,0,0,0,28,0,1,0,0,2,0,2,0,0,0,0,2,173,2192,2.802910436378417
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,0,75,1933,1.3714406097793117
1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,1,3,312,1138,4.153776543928526
1,0,1,1,11,1,0,0,2,0,0,0,0,0,0,1,2,352,1561,2.159015069868063
0,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,1,25,2614,0.9036539387158786
0,0,0,0,3,1,0,1,0,0,2,0,0,2,0,1,1,920,1074,3.9152325757832696
1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,91,372,2.4649509317268694
1,0,1,1,66,1,2,2,1,1,1,1,1,1,2,0,0,82,2941,1.4141417706037358
0,0,0,0,5,1,0,1,0,0,2,0,0,2,0,0,2,939,1441,3.9312722288247173
1,0,0,0,53,0,1,0,2,2,0,0,0,2,2,0,0,320,3509,2.098012922385934
0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,3,310,1087,3.1497228331682314
1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,43,37,1.121747460841898
0,1,1,0,50,1,2,1,2,0,0,0,0,0,0,1,2,820,4173,3.7543833953295875
1,0,0,0,41,1,2,1,2,2,2,0,0,2,1,1,2,1219,4392,3.0701373318508187
1,0,0,0,28,0,1,0,2,0,0,2,0,0,1,0,3,194,2290,1.7961023817790704
0,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,1093,5208,2.9807359514629956
0,0,0,0,1,0,1,0,0,2,0,0,2,2,0,0,2,396,472,3.307798433457187
0,1,0,0,19,1,2,1,0,2,2,0,0,2,0,1,2,1129,3085,5.078859898931186
1,0,0,0,64,1,2,1,0,2,2,2,2,2,0,1,2,1404,5334,4.260626081271088
0,0,1,0,25,1,0,0,0,2,2,2,2,2,0,0,0,905,3301,3.902381425636649
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,672,267,4.676832574505088
1,0,1,1,31,1,0,1,0,0,0,0,0,0,0,1,0,682,3462,3.6877109675510655
1,0,0,1,36,1,0,0,2,2,0,2,0,0,2,0,1,554,3437,2.4657713733674465
0,0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,3,69,46,1.332221626160242
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,678,271,4.683375022613031
0,0,1,1,47,0,1,0,0,0,0,2,0,0,0,1,1,131,2741,2.6512718404073463
1,0,0,0,44,1,0,0,2,0,0,0,0,0,0,1,0,386,3435,2.21914756735063
1,0,0,0,30,1,2,1,0,2,2,0,2,2,1,1,2,1300,3838,4.195547771753486
0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,367,179,3.257865966783516
1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,1066,436,4.032287049007411
1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,132,366,2.6553072804614666
1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,1037,426,4.010105064689344
1,0,0,0,28,1,0,2,1,1,1,1,1,1,1,1,3,24,1564,0.888175022589804
0,0,1,1,47,1,0,2,1,1,1,1,1,1,2,0,3,28,2113,0.9472943612303364
1,1,1,0,35,1,0,0,0,0,2,2,0,0,1,0,1,428,3242,4.359609137610489
0,0,1,1,21,1,0,0,0,2,0,2,0,0,0,0,2,448,2456,3.3904364061448713
1,0,1,0,4,1,2,1,0,2,0,0,0,0,0,1,2,843,1264,3.8473838259892545
0,0,1,0,56,1,2,1,0,2,2,0,2,2,0,1,1,1319,5016,4.207740606289923
0,0,0,0,17,1,2,1,0,0,0,0,2,0,0,1,2,965,2879,3.952805659300519
0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,1,339,1445,2.1347907382303557
0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,1,1,446,492,3.387403810587075
